PAYMENT_NUMBER,MONTH,PAYMENT,PRINCIPAL,PERCENT_PRINCIPAL_OF_PAYMENT,INTEREST,PERCENT_INTEREST_OF_PAYMENT,REMAINING_BALANCE,PERCENT_OF_LOAN_PAID,PERCENT_OF_ASSET_OWNED
71,11,516.22,102.7,19.894618573476425,413.52,80.10538142652356,73960.04999999997,7.549937500000041,26.03995000000002
72,12,516.22,103.28,20.006973770872882,412.94,79.99302622912711,73856.76999999997,7.679037500000035,26.14323000000003
73,1,516.22,103.85,20.117391809693537,412.37,79.88260819030646,73752.91999999997,7.808850000000035,26.24708000000004
74,2,516.22,104.43,20.22974700709,411.79,79.77025299291,73648.48999999998,7.939387500000024,26.35151000000002
75,3,516.22,105.02,20.344039363062258,411.2,79.65596063693773,73543.46999999997,8.07066250000004,26.45653000000003
76,4,516.22,105.6,20.45639456045872,410.62,79.54360543954128,73437.86999999997,8.202662500000045,26.562130000000025
77,5,516.22,106.19,20.570686916430976,410.03,79.42931308356901,73331.67999999996,8.33540000000005,26.668320000000037
78,6,516.22,106.78,20.68497927240324,409.44,79.31502072759675,73224.89999999997,8.46887500000004,26.775100000000023
79,7,516.22,107.38,20.801208786951296,408.84,79.1987912130487,73117.51999999996,8.603100000000055,26.882480000000044
80,8,516.22,107.98,20.91743830149936,408.24,79.08256169850064,73009.53999999996,8.738075000000052,26.99046000000004
81,9,516.22,108.58,21.03366781604742,407.64,78.96633218395257,72900.95999999996,8.873800000000045,27.099040000000045
82,10,516.22,109.19,21.151834489171282,407.03,78.84816551082871,72791.76999999996,9.010287500000047,27.208230000000043
83,11,516.22,109.8,21.270001162295145,406.42,78.72999883770485,72681.96999999996,9.147537500000055,27.318030000000036
84,12,516.22,110.41,21.388167835419004,405.81,78.61183216458099,72571.55999999995,9.285550000000057,27.428440000000037
85,1,516.22,111.03,21.50827166711867,405.19,78.49172833288132,72460.52999999996,9.424337500000064,27.539470000000037
86,2,516.22,111.65,21.628375498818333,404.57,78.37162450118166,72348.87999999996,9.563900000000046,27.651120000000034
87,3,516.22,112.27,21.748479330517995,403.95,78.251520669482,72236.60999999996,9.704237500000062,27.763390000000044
88,4,516.22,112.9,21.87052032079346,403.32,78.12947967920654,72123.70999999996,9.84536250000005,27.87629000000004
89,5,516.22,113.53,21.992561311068922,402.69,78.00743868893107,72010.17999999996,9.98727500000004,27.989820000000037
90,6,516.22,114.16,22.114602301344384,402.06,77.88539769865561,71896.01999999996,10.129975000000044,28.103980000000035
91,7,516.22,114.8,22.238580450195652,401.42,77.76141954980434,71781.21999999996,10.273475000000047,28.218780000000038
92,8,516.22,115.44,22.362558599046917,400.78,77.63744140095308,71665.77999999996,10.417775000000049,28.334220000000045
93,9,516.22,116.09,22.48847390647398,400.13,77.511526093526,71549.68999999996,10.562887500000045,28.450310000000044
94,10,516.22,116.73,22.61245205532525,399.49,77.38754794467475,71432.95999999996,10.708800000000053,28.567040000000034
95,11,516.22,117.39,22.740304521328113,398.83,77.25969547867187,71315.56999999996,10.85553750000004,28.684430000000035
96,12,516.22,118.04,22.86621982875518,398.18,77.13378017124481,71197.52999999997,11.003087500000035,28.802470000000042
97,1,516.22,118.7,22.99407229475805,397.52,77.00592770524194,71078.82999999997,11.151462500000036,28.921170000000032
98,2,516.22,119.36,23.121924760760916,396.86,76.87807523923908,70959.46999999997,11.30066250000003,29.040530000000032
99,3,516.22,120.03,23.251714385339582,396.19,76.74828561466042,70839.43999999997,11.45070000000004,29.160560000000018
100,4,516.22,120.7,23.381504009918253,395.52,76.61849599008174,70718.73999999998,11.601575000000025,29.281260000000017
101,5,516.22,121.37,23.51129363449692,394.85,76.48870636550308,70597.36999999998,11.753287500000027,29.402630000000016
102,6,516.22,122.05,23.643020417651385,394.17,76.3569795823486,70475.31999999998,11.90585000000003,29.524680000000032
103,7,516.22,122.73,23.774747200805855,393.49,76.22525279919414,70352.58999999998,12.059262500000017,29.647410000000022
104,8,516.22,123.42,23.908411142536128,392.8,76.09158885746386,70229.16999999998,12.213537500000015,29.770830000000018
105,9,516.22,124.11,24.042075084266397,392.11,75.9579249157336,70105.05999999998,12.368675000000025,29.89494000000002
106,10,516.22,124.8,24.175739025996666,391.42,75.82426097400334,69980.25999999998,12.52467500000003,30.019740000000013
107,11,516.22,125.5,24.31134012630274,390.72,75.68865987369726,69854.75999999998,12.681550000000016,30.145240000000015
108,12,516.22,126.2,24.44694122660881,390.02,75.55305877339119,69728.55999999998,12.839300000000023,30.271440000000013
109,1,516.22,126.9,24.58254232691488,389.32,75.41745767308511,69601.65999999999,12.99792500000001,30.39834000000002
110,2,516.22,127.61,24.72008058579675,388.61,75.27991941420325,69474.04999999999,13.157437500000015,30.52595000000001
111,3,516.22,128.32,24.857618844678623,387.9,75.14238115532137,69345.72999999998,13.317837500000024,30.65427000000001
112,4,516.22,129.04,24.997094262136297,387.18,75.0029057378637,69216.68999999999,13.479137500000022,30.783310000000014
113,5,516.22,129.76,25.13656967959397,386.46,74.86343032040602,69086.93,13.641337500000006,30.913070000000005
114,6,516.22,130.48,25.276045097051643,385.74,74.72395490294835,68956.45,13.804437500000006,31.043549999999996
115,7,516.22,131.21,25.41745767308512,385.01,74.58254232691488,68825.23999999999,13.968450000000004,31.174760000000006
116,8,516.22,131.95,25.56080740769439,384.27,74.4391925923056,68693.29,14.133387500000012,31.30671000000001
117,9,516.22,132.68,25.70221998372787,383.54,74.29778001627213,68560.61,14.29923749999999,31.439390000000003
118,10,516.22,133.42,25.845569718337142,382.8,74.15443028166285,68427.19,14.46601249999999,31.57280999999999
119,11,516.22,134.17,25.99085661152222,382.05,74.00914338847778,68293.02,14.633724999999998,31.70698
120,12,516.22,134.92,26.13614350470729,381.3,73.86385649529271,68158.1,14.802374999999984,31.841899999999995
121,1,516.22,135.67,26.28143039789237,380.55,73.71856960210764,68022.43000000001,14.97196249999999,31.977569999999986
122,2,516.22,136.43,26.428654449653248,379.79,73.57134555034676,67886.00000000001,15.142499999999984,32.11399999999999
123,3,516.22,137.19,26.575878501414124,379.03,73.42412149858588,67748.81000000001,15.313987499999982,32.25118999999998
124,4,516.22,137.96,26.725039711750803,378.26,73.27496028824919,67610.85,15.486437499999994,32.38914999999999
125,5,516.22,138.73,26.874200922087475,377.49,73.12579907791252,67472.12000000001,15.659849999999992,32.52787999999998
126,6,516.22,139.5,27.02336213242416,376.72,72.97663786757585,67332.62000000001,15.83422499999999,32.667379999999994
127,7,516.22,140.28,27.17446050133664,375.94,72.82553949866336,67192.34000000001,16.009574999999984,32.80766
128,8,516.22,141.06,27.325558870249118,375.16,72.67444112975087,67051.28000000001,16.18589999999999,32.94871999999998
129,9,516.22,141.85,27.478594397737393,374.37,72.5214056022626,66909.43000000001,16.36321249999999,33.09057
130,10,516.22,142.64,27.631629925225674,373.58,72.36837007477432,66766.79000000001,16.541512499999982,33.233209999999985
131,11,516.22,143.44,27.78660261128976,372.78,72.21339738871023,66623.35,16.720812499999994,33.37665
132,12,516.22,144.24,27.941575297353843,371.98,72.05842470264616,66479.11,16.90111250000001,33.52089000000001
133,1,516.22,145.04,28.09654798341792,371.18,71.90345201658207,66334.07,17.08241249999999,33.66592999999999
134,2,516.22,145.85,28.253457828057805,370.37,71.7465421719422,66188.22,17.264725,33.81178
135,3,516.22,146.67,28.41230483127348,369.55,71.58769516872651,66041.55,17.448062499999992,33.95845
136,4,516.22,147.49,28.57115183448917,368.73,71.42884816551083,65894.06,17.632425000000012,34.105940000000004
137,5,516.22,148.31,28.72999883770485,367.91,71.27000116229515,65745.75,17.817812500000002,34.25425
138,6,516.22,149.14,28.890782999496334,367.08,71.10921700050366,65596.61,18.004237500000002,34.40339
139,7,516.22,149.97,29.05156716128782,366.25,70.94843283871216,65446.64,18.191699999999997,34.55336
140,8,516.22,150.81,29.21428848165511,365.41,70.7857115183449,65295.83,18.3802125,34.704170000000005
141,9,516.22,151.65,29.377009802022393,364.57,70.6229901979776,65144.18,18.569774999999993,34.85582000000001
142,10,516.22,152.5,29.541668280965478,363.72,70.45833171903452,64991.68,18.760400000000004,35.00832
143,11,516.22,153.35,29.706326759908563,362.87,70.29367324009144,64838.33,18.952087500000005,35.16167
144,12,516.22,154.21,29.872922397427455,362.01,70.12707760257254,64684.12,19.144850000000005,35.31587999999999
145,1,516.22,155.07,30.03951803494634,361.15,69.96048196505366,64529.05,19.338687499999992,35.47095
146,2,516.22,155.93,30.20611367246523,360.29,69.79388632753476,64373.12,19.533599999999993,35.62688
147,3,516.22,156.8,30.374646468559916,359.42,69.62535353144008,64216.32,19.729600000000005,35.78367999999999
148,4,516.22,157.68,30.545116423230407,358.54,69.4548835767696,64058.64,19.926699999999997,35.94136
149,5,516.22,158.56,30.715586377900895,357.66,69.28441362209911,63900.08,20.124899999999997,36.09992
150,6,516.22,159.44,30.886056332571382,356.78,69.11394366742861,63740.64,20.324200000000005,36.259359999999994
151,7,516.22,160.33,31.058463445817676,355.89,68.94153655418232,63580.31,20.524612500000003,36.41969
152,8,516.22,161.23,31.23280771763976,354.99,68.76719228236024,63419.079999999994,20.726150000000004,36.580920000000006
153,9,516.22,162.13,31.407151989461855,354.09,68.59284801053813,63256.95,20.928812500000006,36.74305
154,10,516.22,163.04,31.583433419859748,353.18,68.41656658014024,63093.909999999996,21.132612500000008,36.906090000000006
155,11,516.22,163.95,31.759714850257637,352.27,68.24028514974235,62929.96,21.337550000000007,37.070040000000006
156,12,516.22,164.86,31.935996280655537,351.36,68.06400371934447,62765.1,21.543625000000006,37.2349
157,1,516.22,165.78,32.11421486962923,350.44,67.88578513037076,62599.32,21.75085,37.400679999999994
158,2,516.22,166.71,32.29437061717873,349.51,67.70562938282127,62432.61,21.9592375,37.56739
159,3,516.22,167.64,32.47452636472821,348.58,67.52547363527178,62264.97,22.168787499999993,37.73503
160,4,516.22,168.57,32.654682112277705,347.65,67.34531788772227,62096.4,22.379499999999993,37.903600000000004
161,5,516.22,169.52,32.83871217697881,346.7,67.16128782302118,61926.880000000005,22.591399999999993,38.073119999999996
162,6,516.22,170.46,33.02080508310411,345.76,66.97919491689589,61756.420000000006,22.804474999999996,38.24358
163,7,516.22,171.41,33.2048351478052,344.81,66.7951648521948,61585.01,23.0187375,38.414989999999996
